blocks,holders,trace_ms_n,trace_ms_p50,trace_ms_ci_lo,trace_ms_ci_hi,trace_ms_p25,trace_ms_p75,trace_ms_p95,trace_ms_p99,trace_ms_mean,trace_ms_sd,trace_ms_min,trace_ms_max,attributed_total
10,20,31,0.0505477,0.0478253,0.0537679,0.0468235,0.0569562,0.0780346,0.0950688,0.0556903,0.0136968,0.0447641,0.10226,2000
100,20,31,0.140065,0.127467,0.145476,0.122457,0.148943,0.167,0.184133,0.137891,0.019291,0.103498,0.188976,2000
500,20,31,0.196957,0.189955,0.203297,0.188675,0.204925,0.218196,0.24738,0.197871,0.0165079,0.168132,0.257529,2000
1000,20,31,0.196109,0.183703,0.208828,0.179164,0.215364,0.262907,0.314667,0.202515,0.0351914,0.159346,0.328548,2000
2000,20,31,0.186058,0.183427,0.196661,0.180811,0.199883,0.228204,0.245469,0.190819,0.0209261,0.155533,0.248534,2000
5000,20,31,0.205221,0.193344,0.209121,0.190888,0.214701,0.231476,0.244683,0.201333,0.0205188,0.149336,0.248583,2000
