blocks_and_method,replicate,value_ms
20000|index,25,0.00350524
20000|index,26,0.00352409
20000|index,27,0.00364585
20000|index,28,0.00379713
20000|index,29,0.00390307
20000|index,30,0.00420299
20000|index,31,0.0042634
20000|scan,1,1486.73
20000|scan,2,1487.89
20000|scan,3,1513.87
20000|scan,4,1522.28
20000|scan,5,1522.89
20000|scan,6,1530.9
20000|scan,7,1634.27
20000|scan,8,1653.28
20000|scan,9,1767.86
20000|scan,10,1794.39
20000|scan,11,1834.98
20000|scan,12,1908.84
20000|scan,13,2113.7
20000|scan,14,2118
20000|scan,15,2122.5
2000|index,1,0.00254242
2000|index,2,0.0026223
2000|index,3,0.00263981
2000|index,4,0.00266692
2000|index,5,0.00268465
2000|index,6,0.00271943
2000|index,7,0.00274887
2000|index,8,0.00274997
2000|index,9,0.00278299
2000|index,10,0.00280044
2000|index,11,0.0028326
2000|index,12,0.00287129
2000|index,13,0.0029529
2000|index,14,0.00297518
2000|index,15,0.00297602
2000|index,16,0.00297888
2000|index,17,0.00298666
2000|index,18,0.00302462
2000|index,19,0.00304903
2000|index,20,0.00306874
2000|index,21,0.00310465
2000|index,22,0.00312981
2000|index,23,0.00313679
2000|index,24,0.00320341
2000|index,25,0.00332983
2000|index,26,0.00339677
2000|index,27,0.00342647
2000|index,28,0.00344755
2000|index,29,0.00380242
2000|index,30,0.00389046
2000|index,31,0.00488599
2000|scan,1,154.116
2000|scan,2,155.005
2000|scan,3,156.612
2000|scan,4,157.691
2000|scan,5,161.569
2000|scan,6,162.284
2000|scan,7,162.33
2000|scan,8,163.127
2000|scan,9,163.658
2000|scan,10,164.519
2000|scan,11,164.944
2000|scan,12,167.905
2000|scan,13,168.909
2000|scan,14,174.011
2000|scan,15,174.37
2000|scan,16,179.175
2000|scan,17,179.687
2000|scan,18,261.114
2000|scan,19,325.417
2000|scan,20,326.423
50000|index,1,0.00303513
50000|index,2,0.00308365
50000|index,3,0.00312848
50000|index,4,0.00316069
50000|index,5,0.00320625
50000|index,6,0.00322454
50000|index,7,0.00323022
50000|index,8,0.0032615
50000|index,9,0.0033696
50000|index,10,0.00337405
50000|index,11,0.00340174
50000|index,12,0.00346808
50000|index,13,0.00350489
50000|index,14,0.00351603
50000|index,15,0.00363584
50000|index,16,0.00364809
50000|index,17,0.00366771
50000|index,18,0.00369956
50000|index,19,0.00383332
50000|index,20,0.00383914
50000|index,21,0.00384596
50000|index,22,0.00385866
50000|index,23,0.00386091
50000|index,24,0.00393044
50000|index,25,0.00400667
50000|index,26,0.00401997
50000|index,27,0.00404057
50000|index,28,0.00408294
50000|index,29,0.00411384
50000|index,30,0.00411701
50000|index,31,0.0041562
50000|scan,1,4262.76
50000|scan,2,4361.59
50000|scan,3,4418.56
50000|scan,4,4448.05
50000|scan,5,4579.82
50000|scan,6,5196.51
50000|scan,7,5241.66
50000|scan,8,5538.48
50000|scan,9,5540.68
50000|scan,10,6083.57
5000|index,1,0.00213226
5000|index,2,0.00229783
5000|index,3,0.00231481
5000|index,4,0.00232013
5000|index,5,0.00232282
5000|index,6,0.00236688
5000|index,7,0.00242371
5000|index,8,0.002446
5000|index,9,0.00246625
5000|index,10,0.00248739
5000|index,11,0.0025267
5000|index,12,0.00255272
5000|index,13,0.00260751
5000|index,14,0.0026287
5000|index,15,0.00263296
5000|index,16,0.0027026
5000|index,17,0.00274463
5000|index,18,0.0027467
5000|index,19,0.0027825
5000|index,20,0.00278609
5000|index,21,0.0027934
5000|index,22,0.00280484
5000|index,23,0.00281141
5000|index,24,0.00281618
5000|index,25,0.00286586
5000|index,26,0.00288621
5000|index,27,0.00289102
5000|index,28,0.00290207
5000|index,29,0.00290652
5000|index,30,0.00295939
5000|index,31,0.00306923
5000|scan,1,359.955
5000|scan,2,362.562
5000|scan,3,376.35
5000|scan,4,389.998
5000|scan,5,394.543
5000|scan,6,398.402
5000|scan,7,402.807
5000|scan,8,403.035
5000|scan,9,404.417
5000|scan,10,408.05
5000|scan,11,411.434
5000|scan,12,413.079
5000|scan,13,423.139
5000|scan,14,453.13
5000|scan,15,499.839
5000|scan,16,516.01
5000|scan,17,518.656
5000|scan,18,532.501
5000|scan,19,572.577
5000|scan,20,587.607
500|index,1,0.00236656
500|index,2,0.00242591
500|index,3,0.00271484
500|index,4,0.00274188
500|index,5,0.00279801
500|index,6,0.00292097
500|index,7,0.00294559
500|index,8,0.00302699
500|index,9,0.00310486
500|index,10,0.00320631
500|index,11,0.00325903
500|index,12,0.00326568
500|index,13,0.00326841
500|index,14,0.0033292
500|index,15,0.00339912
500|index,16,0.00347256
500|index,17,0.00354887
500|index,18,0.00374127
500|index,19,0.0037565
500|index,20,0.003762
500|index,21,0.003799
500|index,22,0.00383147
500|index,23,0.00385668
500|index,24,0.00396383
500|index,25,0.00398114
500|index,26,0.00400713
500|index,27,0.00412235
500|index,28,0.00415274
500|index,29,0.00429062
500|index,30,0.00432336
500|index,31,0.00445949
500|scan,1,31.2614
500|scan,2,31.2849
500|scan,3,31.7442
500|scan,4,32.1702
500|scan,5,32.3949
500|scan,6,32.4223
500|scan,7,32.8182
500|scan,8,32.8331
500|scan,9,33.0057
500|scan,10,33.112
500|scan,11,33.6551
500|scan,12,33.6857
500|scan,13,33.8019
500|scan,14,34.3262
500|scan,15,34.4221
500|scan,16,34.7362
500|scan,17,35.7342
500|scan,18,35.8399
500|scan,19,38.8736
500|scan,20,43.0948
