label,nodes,quorum,round,consensus_ms
q1p2,5,1,6,0.218
q1p2,5,1,7,0.300
q1p2,5,1,8,0.321
q1p2,5,1,9,0.321
q1p2,5,1,10,0.244
q1p2,5,1,11,0.330
q1p2,5,1,12,0.341
q1p2,5,1,13,0.257
q1p2,5,1,14,0.258
q1p2,5,1,15,0.266
q1p2,5,1,16,0.208
q1p2,5,1,17,0.152
q1p2,5,1,18,0.149
q1p2,5,1,19,0.137
q1p2,5,1,20,0.143
q1p3,5,1,1,0.537
q1p3,5,1,2,0.568
q1p3,5,1,3,0.628
q1p3,5,1,4,0.498
q1p3,5,1,5,0.424
q1p3,5,1,6,0.427
q1p3,5,1,7,0.580
q1p3,5,1,8,0.547
q1p3,5,1,9,0.368
q1p3,5,1,10,0.448
q1p3,5,1,11,0.585
q1p3,5,1,12,0.519
q1p3,5,1,13,0.367
q1p3,5,1,14,0.569
q1p3,5,1,15,0.370
q1p3,5,1,16,0.507
q1p3,5,1,17,0.528
q1p3,5,1,18,0.670
q1p3,5,1,19,0.525
q1p3,5,1,20,0.694
q3p3,5,3,1,24.931
q3p3,5,3,2,16.849
q3p3,5,3,3,21.127
q3p3,5,3,4,22.470
q3p3,5,3,5,17.719
q3p3,5,3,6,17.903
q3p3,5,3,7,21.598
q3p3,5,3,8,16.962
q3p3,5,3,9,15.715
q3p3,5,3,10,16.439
q3p3,5,3,11,17.170
q3p3,5,3,12,17.306
q3p3,5,3,13,16.635
q3p3,5,3,14,17.549
q3p3,5,3,15,16.743
q3p3,5,3,16,16.484
q3p3,5,3,17,16.335
q3p3,5,3,18,16.652
q3p3,5,3,19,15.693
q3p3,5,3,20,15.835
q5p3,5,5,1,30.085
q5p3,5,5,2,22.417
q5p3,5,5,3,22.727
q5p3,5,5,4,23.153
q5p3,5,5,5,23.252
q5p3,5,5,6,22.229
q5p3,5,5,7,23.158
q5p3,5,5,8,24.709
q5p3,5,5,9,23.003
q5p3,5,5,10,23.204
q5p3,5,5,11,21.915
q5p3,5,5,12,22.063
q5p3,5,5,13,22.622
q5p3,5,5,14,22.917
q5p3,5,5,15,22.530
q5p3,5,5,16,22.860
q5p3,5,5,17,22.183
q5p3,5,5,18,22.622
q5p3,5,5,19,23.246
q5p3,5,5,20,24.438
q4p3,5,4,1,21.563
q4p3,5,4,2,25.288
q4p3,5,4,3,24.135
q4p3,5,4,4,23.863
q4p3,5,4,5,22.638
q4p3,5,4,6,24.418
q4p3,5,4,7,24.082
q4p3,5,4,8,24.526
